KabKota_bpjs;KabKota_jml;Provinsi;Rokok;Gula;Minuman;Mie;Minyak;Buah;Sayur;IPM;IPM_level;Kepadatan_level;Penc_Air_level;Penc_Udara_level;Sanitasi_level;Rokok_level;Sayur_level;Gula_level;persen_DM;persen_TB;DM_level;TB_level
Kota Sibolga;Kota Sibolga;SUMATERA UTARA;17.283;0.827;1.766;0.443;0.358;0.611;1.209;73.94;1;1;1;0;0;1;0;0;0.207778715667814;0.190463822695496;4;4
Kota Tanjung Balai;Kota Tanjung Balai;SUMATERA UTARA;19.18;2.195;2.94;0.823;0.374;0.898;1.545;68.94;0;1;1;0;0;1;0;1;0.111265646731572;0.103318100536459;4;4
Kota Pematang Siantar;Kota PematangSiantar;SUMATERA UTARA;12.027;1.622;3.085;0.647;0.38;0.822;1.899;79.17;1;1;1;0;0;0;0;1;0.0858995675528209;0.0910609149594281;4;4
Kota Tebing Tinggi;Kota Tebing Tinggi;SUMATERA UTARA;13.915;1.736;3.51;0.841;0.364;0.563;1.788;75.42;1;1;1;0;0;0;0;1;0.106291411769463;0.0958933388789722;4;4
Kota Medan;Kota Medan;SUMATERA UTARA;10.091;1.276;3.053;0.789;0.419;0.722;2.183;81.21;1;1;1;0;0;0;1;1;0.0605873502866232;0.0127237424235897;3;1
Kota Binjai;Kota Binjai;SUMATERA UTARA;9.995;1.886;2.943;0.548;0.437;0.605;2.08;76.01;1;1;1;0;0;0;1;1;0.0910899382263637;0.0736397584895124;4;3
Kota Padangsidimpuan;Kota Padang sidempuan;SUMATERA UTARA;19.857;0.768;1.581;0.495;0.484;0.659;1.73;75.48;1;1;1;0;0;1;0;0;0.0622082609040934;0.0877974746093233;3;3
Kota Gunungsitoli;Kota Gunung sitoli;SUMATERA UTARA;7.879;1.109;3.064;0.846;0.645;0.47;1.334;69.61;1;1;1;0;0;0;0;1;0.143167092232078;0.0826531666494473;4;3
Kepulauan Mentawai;Kepulauan Mentawai;SUMATERA BARAT;28.872;2.173;5.815;0.536;0.765;0.658;1.511;61.35;0;1;1;1;0;1;0;1;0.0351517762986314;0.116794611572872;2;4
Pesisir Selatan;Pesisir Selatan;SUMATERA BARAT;22.174;1.443;1.888;0.409;0.762;0.49;2.042;70.03;1;1;1;1;0;1;1;0;0.0453151758758482;0.049238567726571;2;2
Solok;Solok;SUMATERA BARAT;27.66;1.683;2.236;0.32;0.622;0.594;2.264;69.24;0;1;1;1;0;1;1;1;0.0520984531165761;0.0705013892920831;2;3
Sijunjung;Sijunjung;SUMATERA BARAT;24.701;1.209;2.076;0.428;0.633;0.512;2.042;67.86;0;1;1;1;0;1;1;0;0.0592872910753705;0.0824135393671818;3;3
Tanah Datar;Tanah Datar;SUMATERA BARAT;22.52;1.34;3.098;0.439;0.542;0.587;1.72;72.46;1;1;1;1;0;1;0;1;0.0669058079077828;0.0720110703585775;3;3
Padang Pariaman;Padang Pariaman;SUMATERA BARAT;19.357;1.29;2.471;0.473;0.747;0.465;1.82;70.76;1;1;1;1;0;1;0;0;0.0665046681161274;0.0618539920240905;3;3
Agam;Agam;SUMATERA BARAT;20.769;1.508;3.029;0.508;0.65;0.503;2.071;72.57;1;1;1;1;0;1;1;1;0.0487083784074626;0.0606022847627732;2;3
Lima Puluh Kota;Lima Puluh Kota;SUMATERA BARAT;25.7;1.246;2.552;0.402;0.613;0.651;1.591;69.68;1;1;1;1;0;1;0;0;0.0502462590089972;0.0651631171522933;2;3
Pasaman;Pasaman;SUMATERA BARAT;23.117;1.54;1.791;0.415;0.892;0.517;1.808;66.77;0;1;1;1;0;1;0;0;0.0482699607258047;0.0655092324135921;2;3
Solok Selatan;Solok Selatan;SUMATERA BARAT;28.915;1.651;2.729;0.463;0.688;0.511;2.144;69.23;0;1;1;1;0;1;1;1;0.0711629908315589;0.11750168253583;3;4
Dharmasraya;Dharmasraya;SUMATERA BARAT;26.444;1.372;2.171;0.502;0.518;0.536;2.016;71.76;1;1;1;1;0;1;1;0;0.0675700864897107;0.0862101103489412;3;3
Pasaman Barat;Pasaman Barat;SUMATERA BARAT;24.662;1.211;1.408;0.356;0.866;0.597;2.064;68.76;0;1;1;1;0;1;1;0;0.0462480142258892;0.055497617071067;2;2
Kota Padang;Kota Padang;SUMATERA BARAT;14.955;1.027;2.072;0.584;0.417;0.663;1.997;82.9;1;1;1;1;0;0;1;0;0.126666843052175;0.033292764666455;4;2
Kota Solok;Kota Solok;SUMATERA BARAT;19.828;0.972;1.619;0.504;0.445;0.823;1.889;78.41;1;1;1;1;0;1;0;0;0.148367952522255;0.15646074993256;4;4
Kota Sawah Lunto;Kota SawahLunto;SUMATERA BARAT;17.668;1.076;2.505;0.563;0.517;0.543;2.056;72.88;1;1;1;1;0;1;1;0;0.181325021354393;0.178327913563411;4;4
Kota Padang Panjang;Kota Padang Panjang;SUMATERA BARAT;17.368;0.767;2.835;0.532;0.396;0.725;1.558;77.97;1;1;1;1;0;1;0;0;0.235881781601221;0.227209657277647;4;4
Kota Bukittinggi;Kota Bukittinggi;SUMATERA BARAT;16.845;0.915;2.914;0.557;0.459;0.57;1.486;80.7;1;1;1;1;0;1;0;0;0.10533191802074;0.133910345390708;4;4
Kota Payakumbuh;Kota Payakumbuh;SUMATERA BARAT;20.763;0.891;2.334;0.55;0.451;0.683;1.428;79.08;1;1;1;1;0;1;0;0;0.108132267389471;0.104527858476488;4;4
Kota Pariaman;Kota Pariaman;SUMATERA BARAT;14.856;0.874;2.303;0.532;0.552;0.636;1.606;77.07;1;1;1;1;0;0;0;0;0.185578511510159;0.192014760464268;4;4
Kuantan Singingi;Kuantan Singingi;RIAU;23.811;1.975;2.578;0.745;0.727;0.566;2.084;70.6;1;0;1;0;1;1;1;1;0.0542046224497478;0.0644432733569224;3;3
Indragiri Hulu;Indragiri Hulu;RIAU;24.07;1.483;3.008;0.787;0.416;0.458;1.835;70.01;1;0;1;0;1;1;0;1;0.0405088281308202;0.0526149146986516;2;2
Indragiri Hilir;Indragiri Hilir;RIAU;26.349;2.541;5.697;1.23;0.412;0.547;1.65;66.63;0;0;1;0;1;1;0;1;0.0349338569689854;0.0333387036827304;2;2
Pelalawan;Pelalawan;RIAU;24.193;1.92;3.595;0.945;0.61;0.633;1.954;72.08;1;0;1;0;1;1;1;1;0.0480616052576156;0.0550818397334471;2;2
Siak;Siak;RIAU;19.528;1.707;2.83;0.721;0.488;0.603;2.162;73.98;1;0;1;0;1;1;1;1;0.0570366647576526;0.0549328533526572;3;2
Kampar;Kampar;RIAU;24.975;1.611;3.099;0.77;0.584;0.599;2.363;73.02;1;0;1;0;1;1;1;1;0.0487474827119583;0.0387582444513111;2;2
Rokan Hulu;Rokan Hulu;RIAU;27.516;1.802;3.445;0.642;0.613;0.545;2.005;69.67;1;0;1;0;1;1;1;1;0.0349882475373657;0.0376796511940861;2;2
Bengkalis;Bengkalis;RIAU;22.622;1.923;3.525;0.81;0.571;0.547;1.752;73.58;1;0;1;0;1;1;0;1;0.0622424333706546;0.0484511070261364;3;2
Rokan Hilir;Rokan Hilir;RIAU;23.398;1.982;4.337;1.079;0.549;0.662;1.996;69.34;0;0;1;0;1;1;1;1;0.0239136482849382;0.0320411627347211;1;1
Kepulauan Meranti;Kepulauan Meranti;RIAU;25.383;2.423;2.5;1.033;0.563;0.369;1.498;65.7;0;0;1;0;1;1;0;1;0.0636342323462851;0.0794231772141603;3;3
Kota Pekanbaru;Kota Pekanbaru;RIAU;13.422;1.052;2.893;0.726;0.441;0.685;1.726;81.58;1;0;1;0;1;0;0;1;0.0833007639570692;0.0320629355608342;4;1
Kota Dumai;Kota Dumai;RIAU;21.527;1.615;2.944;0.855;0.519;0.612;2.079;74.75;1;0;1;0;1;1;1;1;0.0848196169479573;0.0791649758180935;4;3
Kerinci;Kerinci;JAMBI;24.288;1.326;1.899;0.461;0.519;0.78;2.468;71.45;1;0;0;0;0;1;1;0;0.0447090188026262;0.0741010589413898;2;3
Merangin;Merangin;JAMBI;22.559;1.264;1.735;0.62;0.373;0.5;2.064;69.53;0;0;0;0;0;1;1;0;0.0456141684624809;0.0570177105781011;2;3
Sarolangun;Sarolangun;JAMBI;23.359;1.742;2.223;0.781;0.442;0.523;1.991;70.25;1;0;0;0;0;1;1;1;0.0465972595597699;0.0566987633804194;2;2
Batang Hari;BatangHari;JAMBI;20.826;1.921;2.466;0.809;0.388;0.546;1.673;70.11;1;0;0;0;0;1;0;1;0.0508565222669541;0.0597154003392622;2;3
Muaro Jambi;Muaro Jambi;JAMBI;18.456;2.271;3.59;1.119;0.451;0.744;2.414;69.55;0;0;0;0;0;1;1;1;0.0481333293222226;0.0544234803131948;2;2
Tanjung Jabung Timur;Tanjung Jabung Timur;JAMBI;22.834;2.396;3.501;1.158;0.474;0.755;2.138;64.91;0;0;0;0;0;1;1;1;0.036456914954363;0.0535872725835215;2;2
Tanjung Jabung Barat;Tanjung Jabung Barat;JAMBI;22.373;1.899;3.15;1.045;0.397;0.614;1.872;68.16;0;0;0;0;0;1;0;1;0.0504052772133709;0.0432045233257465;2;2
Tebo;Tebo;JAMBI;24.29;1.856;2.202;0.976;0.523;0.687;2.002;69.35;0;0;0;0;0;1;1;1;0.0401542413300556;0.0542542039345026;2;2
Bungo;Bungo;JAMBI;24.405;1.585;2.865;0.92;0.475;0.577;2.091;70.15;1;0;0;0;0;1;1;1;0.0463181470395961;0.0536469677737095;2;2
Kota Jambi;Kota Jambi;JAMBI;15.093;1.268;2.351;0.973;0.39;0.706;2.003;79.12;1;0;0;0;0;0;1;0;0.0852722621512974;0.042717342753888;4;2
Kota Sungai Penuh;Kota Sungai Penuh;JAMBI;24.39;1.394;2.004;0.475;0.517;0.584;1.968;75.7;1;0;0;0;0;1;1;0;0.0724386008434632;0.121061771272637;3;4
Ogan Komering Ulu;Ogan Komering Ulu;SUMATERA SELATAN;20.989;1.691;1.974;1.199;0.29;0.629;1.91;69.6;0;0;0;1;1;1;0;0;0.0363285741990642;0.0570877594556723;2;3
Ogan Komering Ilir;Ogan Komering Ilir;SUMATERA SELATAN;19.586;2.209;2.238;1.535;0.375;0.78;2.439;67.17;0;0;0;1;1;1;1;1;0.0174147943477337;0.0259165049741863;1;1
Muara Enim;Lematang Ilir Ogan Tengah (Muara Enim);SUMATERA SELATAN;22.1;2.124;2.106;1.562;0.27;0.446;1.883;68.86;0;0;0;1;1;1;0;1;0.0397307293007219;0.0499225250778636;2;2
Lahat;Lahat;SUMATERA SELATAN;20.822;1.971;1.63;1.123;0.296;0.53;2.232;67.58;0;0;0;1;1;1;1;0;0.047745468216972;0.0551264101635571;2;2
Musi Rawas;Musi Rawas;SUMATERA SELATAN;21.017;2.123;1.158;0.959;0.354;0.572;2.256;67.01;0;0;0;1;1;1;1;0;0.039743653435342;0.0526603408018282;2;2
Musi Banyuasin;Musi Banyuasin;SUMATERA SELATAN;20.755;1.948;1.92;1.419;0.341;0.555;2.137;68.1;0;0;0;1;1;1;1;0;0.0341500896439853;0.0461026210193802;1;2
Banyuasin;Banyuasin;SUMATERA SELATAN;20.042;1.895;2.588;1.574;0.347;0.739;2.091;67.13;0;0;0;1;1;1;1;1;0.0272219786067274;0.0252511566261499;1;1
Ogan Komering Ulu Selatan;Ogan Komering Ulu Selatan;SUMATERA SELATAN;23.21;2.215;1.192;0.817;0.285;0.437;1.972;65.34;0;0;0;1;1;1;1;0;0.0197539429592852;0.0354125562806698;1;2
Ogan Komering Ulu Timur;Ogan Komering Ulu Timur;SUMATERA SELATAN;17.611;1.882;1.354;0.858;0.445;0.678;2.533;69.58;0;0;0;1;1;1;1;0;0.0316785083948047;0.0248122307131722;1;1
Ogan Ilir;Ogan Ilir;SUMATERA SELATAN;19.853;2.767;1.28;1.468;0.274;0.706;1.626;67.17;0;0;0;1;1;1;0;1;0.0346382003638222;0.0421471808622732;1;2
Empat Lawang;Empat Lawang;SUMATERA SELATAN;23.528;2.037;0.941;1.12;0.341;0.598;2.065;65.39;0;0;0;1;1;1;1;0;0.0237094837935174;0.0567226890756303;1;3
Penukal Abab Lematang Ilir;Penukal Abab Lematang Ilir;SUMATERA SELATAN;19.618;2.162;2.035;1.661;0.26;0.529;1.894;64.88;0;0;0;1;1;1;0;1;0.0495780358283939;0.0683075160302316;2;3
Musi Rawas Utara;Musi Rawas Utara;SUMATERA SELATAN;18.748;2.184;1.306;1.003;0.326;0.571;1.807;64.93;0;0;0;1;1;1;0;0;0.0399709302325581;0.0799418604651163;2;3
Kota Palembang;Kota Palembang;SUMATERA SELATAN;11.413;1.644;2.403;1.422;0.28;0.732;1.886;78.72;1;0;0;1;1;0;0;1;0.0672790900054343;0.0194967004155582;3;1
Kota Prabumulih;Kota Prabumulih;SUMATERA SELATAN;13.131;1.54;1.39;1.511;0.242;0.593;1.742;74.67;1;0;0;1;1;0;0;0;0.0953974553876606;0.0734611421167012;4;3
