KabKota_bpjs;KabKota_jml;Provinsi;Rokok;Gula;Minuman;Mie;Minyak;Buah;Sayur;IPM;IPM_level;Kepadatan_level;Penc_Air_level;Penc_Udara_level;Sanitasi_level;Rokok_level;Sayur_level;Gula_level;persen_DM;persen_TB;DM_level;TB_level
Sumba Timur;Sumba Timur;NUSA TENGGARA TIMUR;12.704;1.491;1.709;0.613;0.177;0.204;1.464;65.74;0;1;0;0;0;0;0;0;0.0521369961642067;0.0628954239441224;2;3
Kupang;Kupang;NUSA TENGGARA TIMUR;5.522;1.404;2.117;0.402;0.201;0.178;1.575;64.41;0;1;0;0;0;0;0;0;0.0334078653163225;0.0473497303695909;1;2
Timor Tengah Selatan;Timor Tengah Selatan;NUSA TENGGARA TIMUR;4.072;1.151;2.227;0.597;0.204;0.491;1.91;62.16;0;1;0;0;0;0;0;0;0.0217928694585754;0.0267069478659012;1;1
Timor Tengah Utara;Timor Tengah Utara;NUSA TENGGARA TIMUR;8.931;1.212;1.626;0.48;0.166;0.232;2.089;63.69;0;1;0;0;0;0;1;0;0.0267215650557201;0.0387650873343545;1;2
Belu;Belu;NUSA TENGGARA TIMUR;5.461;1.341;2.653;0.692;0.197;0.357;1.641;62.77;0;1;0;0;0;0;0;1;0.0355738958752068;0.0849326764020562;2;3
Alor;Alor;NUSA TENGGARA TIMUR;7.215;1.358;1.985;0.294;0.197;0.448;1.846;61.37;0;1;0;0;0;0;0;0;0.0346305154867665;0.0706462515930037;1;3
Lembata;Lembata;NUSA TENGGARA TIMUR;9.984;1.764;3.208;0.33;0.242;0.656;1.736;64.75;0;1;0;0;0;0;0;1;0.0533652563335184;0.0677882985858207;3;3
Flores Timur;Flores Timur;NUSA TENGGARA TIMUR;9.026;1.564;2.503;0.56;0.432;0.375;1.748;64.22;0;1;0;0;0;0;0;1;0.0334920976277018;0.0398379687571611;1;2
Sikka;Sikka;NUSA TENGGARA TIMUR;7.745;1.156;1.483;0.359;0.318;0.42;1.567;65.41;0;1;0;0;0;0;0;0;0.0342873529540113;0.0445735588402147;1;2
Ende;Ende;NUSA TENGGARA TIMUR;7.753;1.184;2.054;0.508;0.369;0.549;1.945;67.3;0;1;0;0;0;0;1;0;0.0468550797807618;0.0421332500354137;2;2
Ngada;Ngada;NUSA TENGGARA TIMUR;10.231;1.59;2.093;0.484;0.362;0.453;2.007;67.88;0;1;0;0;0;0;1;0;0.0397904764167191;0.0540437814018125;2;2
Manggarai;Manggarai;NUSA TENGGARA TIMUR;14.108;1.661;1.768;0.545;0.192;0.395;2.159;65.01;0;1;0;0;0;0;1;0;0.0266619543212517;0.0403029542065433;1;2
Rote Ndao;Rote Ndao;NUSA TENGGARA TIMUR;5.772;2.465;2.941;0.459;0.21;0.1;1.298;62.6;0;1;0;0;0;0;0;1;0.0244356053921236;0.0746643498092665;1;3
Manggarai Barat;Manggarai Barat;NUSA TENGGARA TIMUR;15.341;1.523;1.727;0.544;0.195;0.391;1.842;64.17;0;1;0;0;0;0;0;0;0.0290604304002692;0.0565913644636821;1;2
Sumba Tengah;Sumba Tengah;NUSA TENGGARA TIMUR;8.118;1.591;1.279;0.382;0.141;0.325;1.208;61.8;0;1;0;0;0;0;0;0;0.0352966627574664;0.162820089494119;2;4
Sumba Barat Daya;Sumba Barat Daya;NUSA TENGGARA TIMUR;7.675;1.486;1.229;0.461;0.301;0.584;1.646;62.29;0;1;0;0;0;0;0;0;0.0240373829379451;0.0666636753479011;1;3
Nagekeo;Nagekeo;NUSA TENGGARA TIMUR;8.47;1.664;1.178;0.345;0.413;0.424;1.65;65.82;0;1;0;0;0;0;0;0;0.0408943034845609;0.0445564799160141;2;2
Manggarai Timur;Manggarai Timur;NUSA TENGGARA TIMUR;9.686;0.756;1.214;0.486;0.206;0.417;1.545;61.37;0;1;0;0;0;0;0;0;0;0.0230656478098795;1;1
Sabu Raijua;Sabu Raijua;NUSA TENGGARA TIMUR;7.585;2.298;1.589;0.393;0.24;0.141;2.083;57.03;0;1;0;0;0;0;1;0;0;0.0712213412654357;1;3
Malaka;Malaka;NUSA TENGGARA TIMUR;4.195;1.071;2.592;0.537;0.202;0.258;1.702;60.42;0;1;0;0;0;0;0;0;0.0165036927012419;0.0613731072327433;1;3
Kota Kupang;Kota Kupang;NUSA TENGGARA TIMUR;7.922;1.058;3.071;0.678;0.239;0.328;2.065;79.74;1;1;0;0;0;0;1;1;0.083300421722571;0.0501618343343003;4;2
Sambas;Sambas;KALIMANTAN BARAT;18.85;2.189;1.366;0.771;0.286;0.606;1.098;67.1;0;0;0;1;0;1;0;0;0.0386418793148135;0.0337723741979061;2;2
Bengkayang;Bengkayang;KALIMANTAN BARAT;22.481;1.812;1.358;0.854;0.273;0.539;1.6;68.04;0;0;0;1;0;1;0;0;0.0535253758941171;0.0629096950443844;3;3
Landak;Landak;KALIMANTAN BARAT;22.142;2.045;1.875;1.005;0.244;0.447;1.658;66.21;0;0;0;1;0;1;0;1;0.0252357418058797;0.049971765952237;1;2
Mempawah;Mempawah;KALIMANTAN BARAT;19.247;1.888;1.482;0.98;0.29;0.378;1.2;66.03;0;0;0;1;0;1;0;0;0.0520598000117871;0.0504226993824856;2;2
Sanggau;Sanggau;KALIMANTAN BARAT;20.356;1.792;2.17;1.28;0.267;0.365;1.679;66.2;0;0;0;1;0;1;0;1;0.0303829691140696;0.0365416790696242;1;2
Ketapang;Ketapang;KALIMANTAN BARAT;24.501;1.866;1.844;1.025;0.265;0.322;1.527;67.43;0;0;0;1;0;1;0;0;0.0320112511676235;0.0363843729118344;1;2
Sintang;Sintang;KALIMANTAN BARAT;23.885;1.991;2.021;0.992;0.251;0.338;1.658;66.93;0;0;0;1;0;1;0;1;0.0429303893493607;0.0592732080221287;2;3
Kapuas Hulu;Kapuas Hulu;KALIMANTAN BARAT;22.711;2.132;1.672;1.217;0.208;0.373;1.659;65.75;0;0;0;1;0;1;0;0;0.0374659955366597;0.0688234048445161;2;3
Sekadau;Sekadau;KALIMANTAN BARAT;19.341;2.25;2.673;0.972;0.241;0.389;1.526;64.93;0;0;0;1;0;1;0;1;0.0341973232396576;0.0693315594447854;1;3
Melawi;Melawi;KALIMANTAN BARAT;29.137;2.237;1.847;1.17;0.259;0.359;1.579;65.87;0;0;0;1;0;1;0;1;0.047638258242277;0.0785387500751054;2;3
Kayong Utara;Kayong Utara;KALIMANTAN BARAT;23.639;2.034;1.502;1.255;0.42;0.425;1.472;62.9;0;0;0;1;0;1;0;0;0.0655613393470723;0.113744974288896;3;4
Kubu Raya;Kubu Raya;KALIMANTAN BARAT;21.95;1.734;1.627;1.18;0.303;0.423;1.166;68.16;0;0;0;1;0;1;0;0;0.0300435631665916;0.0361513205136459;1;2
Kota Pontianak;Kota Pontianak;KALIMANTAN BARAT;12.142;1.479;1.91;1.285;0.257;0.598;1.678;79.93;1;0;0;1;0;0;0;0;0.0527694201210399;0.0409262832188747;3;2
Kota Singkawang;Kota Singkawang;KALIMANTAN BARAT;17.6;1.79;1.706;1.11;0.32;0.724;1.318;72.11;1;0;0;1;0;1;0;0;0.0987846115527337;0.0810540402483969;4;3
Kotawaringin Barat;Kotawaringin Barat;KALIMANTAN TENGAH;23.064;1.77;4.057;1.092;0.376;0.702;2.449;73.07;1;0;0;1;0;1;1;1;0.0704794184260124;0.0637482380145394;3;3
Kotawaringin Timur;Kotawaringin Timur;KALIMANTAN TENGAH;23.342;1.944;3.659;1.064;0.315;0.514;1.988;71.38;1;0;0;1;0;1;1;1;0.0397143472922806;0.0435889177598202;2;2
Kapuas;Kapuas;KALIMANTAN TENGAH;22.031;2.462;6.054;1.378;0.321;0.429;1.89;69.63;1;0;0;1;0;1;0;1;0.0426745618624432;0.0419512642037578;2;2
Barito Selatan;Barito Selatan;KALIMANTAN TENGAH;21.276;2.878;5.665;1.48;0.323;0.487;2.242;70.54;1;0;0;1;0;1;1;1;0.0962546089656511;0.111779545895595;4;4
Barito Utara;Barito Utara;KALIMANTAN TENGAH;24.112;2.162;4.927;1.586;0.315;0.448;1.75;70.79;1;0;0;1;0;1;0;1;0.0872790748418067;0.0808614958093209;4;3
Sukamara;Sukamara;KALIMANTAN TENGAH;28.898;1.404;2.865;1.159;0.337;0.572;2.258;68.27;0;0;0;1;0;1;1;1;0.120209879952566;0.186812651277636;4;4
Lamandau;Lamandau;KALIMANTAN TENGAH;24.635;2.051;4.119;1.279;0.377;0.709;2.169;70.58;1;0;0;1;0;1;1;1;0.0755052187430602;0.144348212302909;3;4
Seruyan;Seruyan;KALIMANTAN TENGAH;28.158;1.804;3.039;1.325;0.331;0.405;1.932;67.67;0;0;0;1;0;1;1;1;0.0603643565430893;0.0935986652016441;3;4
Katingan;Katingan;KALIMANTAN TENGAH;24.643;2.146;3.214;1.196;0.297;0.462;2.038;68.89;0;0;0;1;0;1;1;1;0.0485635415601677;0.0843472037623965;2;3
Pulang Pisau;Pulang Pisau;KALIMANTAN TENGAH;24.74;2.647;5.861;1.327;0.36;0.545;2.016;68.53;0;0;0;1;0;1;1;1;0.0649841317817742;0.0785854616895874;3;3
Gunung Mas;Gunung Mas;KALIMANTAN TENGAH;29.421;2.077;4.323;1.301;0.228;0.346;1.566;71.03;1;0;0;1;0;1;0;1;0.0509770603228547;0.0731409995936611;2;3
Barito Timur;Barito Timur;KALIMANTAN TENGAH;20.859;2.512;4.458;1.374;0.322;0.425;1.73;71.47;1;0;0;1;0;1;0;1;0.0677667766776678;0.103850385038504;3;4
Murung Raya;Murung Raya;KALIMANTAN TENGAH;20.793;1.953;3.014;1.469;0.237;0.264;1.489;68.12;0;0;0;1;0;1;0;1;0.0960693895476504;0.142731664470795;4;4
Kota Palangka Raya;Kota PalangkaRaya;KALIMANTAN TENGAH;14.371;1.586;4.829;1.186;0.282;0.561;2.301;80.82;1;0;0;1;0;0;1;1;0.0834188188346166;0.0706429636977834;4;3
Tanah Laut;Tanah Laut;KALIMANTAN SELATAN;23.523;2.354;4.928;0.939;0.335;0.636;2.101;69.87;1;1;0;1;1;1;1;1;0.0626025509824884;0.0540268590670791;3;2
Kota Baru;Kota Baru;KALIMANTAN SELATAN;21.43;1.764;3.19;1.402;0.359;0.406;1.842;69.13;0;1;0;1;1;1;0;1;0.0374249181909846;0.0528897604186642;2;2
Banjar;Banjar;KALIMANTAN SELATAN;23.084;2.097;4.437;1.291;0.306;0.482;1.587;69.89;1;1;0;1;1;1;0;1;0.0407077330154253;0.0425250425250425;2;2
Barito Kuala;Barito Kuala;KALIMANTAN SELATAN;19.707;2.44;4.341;1.12;0.347;0.516;1.542;66.64;0;1;0;1;1;1;0;1;0.0377972163461844;0.0505021630171707;2;2
Tapin;Tapin;KALIMANTAN SELATAN;21.09;2.04;4.591;1.236;0.333;0.429;1.912;70.31;1;1;0;1;1;1;1;1;0.0730627699856008;0.0746626846568183;3;3
Hulu Sungai Selatan;Hulu Sungai Selatan;KALIMANTAN SELATAN;19.397;2.149;3.947;1.094;0.283;0.457;1.384;69.21;0;1;0;1;1;1;0;1;0.0785286933432832;0.105428024764739;3;4
Hulu Sungai Tengah;Hulu Sungai Tengah;KALIMANTAN SELATAN;18.616;2.101;3.808;1.075;0.308;0.308;1.432;69.05;0;1;0;1;1;1;0;1;0.0635420016505422;0.0743906360786836;3;3
Hulu Sungai Utara;Hulu Sungai Utara;KALIMANTAN SELATAN;12.788;1.989;3.226;1.201;0.276;0.365;1.351;66.12;0;1;0;1;1;0;0;1;0.0762922822727253;0.0815237530571407;3;3
Tabalong;Tabalong;KALIMANTAN SELATAN;19.102;2.147;3.893;1.12;0.327;0.627;1.86;72.6;1;1;0;1;1;1;0;1;0.0723404605127952;0.0875483982342351;3;3
Tanah Bumbu;Tanah Bumbu;KALIMANTAN SELATAN;21.085;1.894;3.546;1.221;0.342;0.575;1.974;71;1;1;0;1;1;1;1;1;0.0356546379177691;0.0434736374611396;2;2
Balangan;Balangan;KALIMANTAN SELATAN;20.038;2.08;4.294;1.286;0.318;0.5;1.571;69.11;0;1;0;1;1;1;0;1;0.0901940701220677;0.11465347896873;4;4
Kota Banjarmasin;Kota Banjarmasin;KALIMANTAN SELATAN;15.38;1.546;3.628;1.252;0.278;0.598;1.502;77.57;1;1;0;1;1;0;0;1;0.0799979664068353;0.042017623477235;4;2
Kota Banjar Baru;Kota BanjarBaru;KALIMANTAN SELATAN;17.088;1.656;3.493;1.263;0.311;0.667;2.035;79.26;1;1;0;1;1;1;1;1;0.101599342990915;0.0723895318810272;4;3
Paser;Paser;KALIMANTAN TIMUR;17.964;2.093;3.7;1.086;0.328;0.464;2.393;72.93;1;0;1;1;1;1;1;1;0.0679306575991256;0.0656536523164734;3;3
Kutai Barat;Kutai Barat;KALIMANTAN TIMUR;23.21;1.92;3.333;1.225;0.313;0.384;1.561;72.07;1;0;1;1;1;1;0;1;0.101751848083265;0.106042588665089;4;4
Kutai Kartanegara;Kutai Kartanegara;KALIMANTAN TIMUR;21.618;2.028;3.447;1.31;0.285;0.505;2.083;74.06;1;0;1;1;1;1;1;1;0.0532639698834833;0.0356536600575078;3;2
Kutai Timur;Kutai Timur;KALIMANTAN TIMUR;23.733;1.86;3.697;1.337;0.315;0.455;2.189;73.81;1;0;1;1;1;1;1;1;0.0483852605214223;0.0502827217183409;2;2
Berau;Berau;KALIMANTAN TIMUR;23.496;2.079;3.201;1.334;0.319;0.552;2.238;75.2;1;0;1;1;1;1;1;1;0.0584215787674345;0.0653456177324638;3;3
Penajam Paser Utara;Penajam Paser Utara;KALIMANTAN TIMUR;20.77;2.006;3.985;1.171;0.398;0.489;1.977;72.01;1;0;1;1;1;1;1;1;0.0948706230801715;0.0896643083989425;4;4
Mahakam Ulu;Mahakam Ulu;KALIMANTAN TIMUR;26.936;2.151;2.867;1.24;0.263;0.219;1.598;67.95;0;0;1;1;1;1;0;1;0;0.287615798802716;1;4
Kota Balikpapan;Kota Balikpapan;KALIMANTAN TIMUR;13.144;1.231;3.139;0.847;0.303;0.59;2.249;80.71;1;0;1;1;1;0;1;1;0.121405061242109;0.043615892372165;4;2
Kota Samarinda;Kota Samarinda;KALIMANTAN TIMUR;12.889;1.489;2.821;0.869;0.291;0.556;2.034;80.76;1;0;1;1;1;0;1;1;0.0966310832939675;0.0369807029119771;4;2
Kota Bontang;Kota Bontang;KALIMANTAN TIMUR;14.77;1.235;2.826;1.206;0.3;0.636;1.875;80.59;1;0;1;1;1;0;0;1;0.141327480712956;0.139110579054713;4;4
Malinau;Malinau;KALIMANTAN UTARA;16.596;1.993;2.272;0.873;0.216;0.438;1.814;72.32;1;0;0;1;1;0;0;1;0.140802950631744;0.149525257308047;4;4
Bulungan;Bulungan;KALIMANTAN UTARA;22.651;2.19;3.403;1.164;0.268;0.413;1.779;71.8;1;0;0;1;1;1;0;1;0.0994028676654629;0.124432366717918;4;4
Tana Tidung;Tana Tidung;KALIMANTAN UTARA;22.277;2.206;3.223;1.317;0.279;0.403;1.612;67.76;0;0;0;1;1;1;0;1;0.267424369045629;0.321744944008023;4;4
Nunukan;Nunukan;KALIMANTAN UTARA;24.305;1.997;2.852;1.252;0.265;0.443;1.603;66.46;0;0;0;1;1;1;0;1;0.0712341172767584;0.0927700131976388;3;4
Kota Tarakan;Kota Tarakan;KALIMANTAN UTARA;15.131;1.453;3.019;0.97;0.28;0.357;1.64;76.23;1;0;0;1;1;0;0;1;0.10396728728032;0.0874369236123195;4;3
Bolaang Mongondow;Bolaang Mongondow;SULAWESI UTARA;20.776;1.632;1.021;0.451;0.446;0.783;1.831;68.16;0;1;1;0;0;1;0;0;0.0519322803064804;0.0643161317641795;2;3
Minahasa;Minahasa;SULAWESI UTARA;14.559;1.488;2.026;0.403;0.301;0.649;2.007;75.73;1;1;1;0;0;0;1;0;0.0815055661265213;0.0565847995051029;4;2
Kepulauan Sangihe;Kepulauan Sangihe;SULAWESI UTARA;11.985;2.262;2.161;0.365;0.585;0.393;1.833;71.07;1;1;1;0;0;0;0;1;0.0926914218302343;0.0828605134543003;4;3
Kepulauan Talaud;Kepulauan Talaud;SULAWESI UTARA;11.583;2.069;2.311;0.516;0.612;0.469;1.72;69.83;1;1;1;0;0;0;0;1;0.0745218183323673;0.103502525461621;3;4
Minahasa Selatan;Minahasa Selatan;SULAWESI UTARA;13.718;1.798;1.872;0.479;0.419;0.726;2.336;72.32;1;1;1;0;0;0;1;0;0.0725503763812879;0.0557757228827242;3;2
Minahasa Utara;Minahasa Utara;SULAWESI UTARA;12.2;1.642;2.051;0.709;0.411;0.67;2.087;74.11;1;1;1;0;0;0;1;0;0.104823223765955;0.0718400542189088;4;3
Bolaang Mongondow Utara;Bolaang Mongondow Utara;SULAWESI UTARA;18.775;1.941;1.223;0.664;0.338;0.489;2.272;67.39;0;1;1;0;0;1;1;0;0.0780400132431538;0.119424868750887;3;4
Siau Tagulandang Biar;Kepulauan Siau Tagulandang Biaro;SULAWESI UTARA;12.571;2.181;1.871;0.442;0.39;0.411;1.393;68.05;0;1;1;0;0;0;0;1;0.0950118764845606;0.128944689514761;4;4
Minahasa Tenggara;Minahasa Tenggara;SULAWESI UTARA;16.278;1.485;1.752;0.561;0.345;0.611;1.94;71.06;1;1;1;0;0;0;1;0;0.0759301442672741;0.10493716567275;3;4
Bolaang Mongondow Selatan;Bolaang Mongondow Selatan;SULAWESI UTARA;18.884;1.93;1.619;0.508;0.413;0.703;1.574;65.42;0;1;1;0;0;1;0;0;0.0899305848298345;0.12084422336509;4;4
Bolaang Mongondow Timur;Bolaang Mongondow Timur;SULAWESI UTARA;26.043;1.706;1.206;0.61;0.376;0.599;2.044;66.55;0;1;1;0;0;1;1;0;0.0781931711297213;0.111056967691488;3;4
Kota Manado;Kota Manado;SULAWESI UTARA;11.139;1.47;2.409;0.873;0.309;0.486;1.854;79.2;1;1;1;0;0;0;0;0;0.121854562870597;0.0440795636123202;4;2
Kota Bitung;Kota Bitung;SULAWESI UTARA;14.598;1.706;2.496;0.77;0.356;0.546;1.977;74.2;1;1;1;0;0;0;1;1;0.0989374209720713;0.0674371658643714;4;3
Kota Tomohon;Kota Tomohon;SULAWESI UTARA;15.667;1.321;2.067;0.602;0.3;0.685;2.054;76.86;1;1;1;0;0;0;1;0;0.152638026952662;0.10041975457412;4;4
Kota Kotamobagu;Kota Kotamobagu;SULAWESI UTARA;20.925;1.131;1.578;0.643;0.307;0.61;1.52;73.47;1;1;1;0;0;1;0;0;0.115271903691136;0.111213033842857;4;4
Banggai Kepulauan;Banggai Kepulauan;SULAWESI TENGAH;15.349;2.001;1.221;0.716;0.38;1.1;0.992;65.61;0;0;0;0;0;0;0;0;0.0594913085643036;0.102683628480853;3;4
Banggai;Banggai;SULAWESI TENGAH;17.87;1.633;2.374;0.598;0.388;0.782;2.091;70.6;1;0;0;0;0;1;1;1;0.0541878493959008;0.0476526313783047;3;2
Morowali;Morowali;SULAWESI TENGAH;25.768;1.679;3.136;1.034;0.394;0.733;1.954;72.29;1;0;0;0;0;1;1;1;0.0764291222251793;0.0982660142895162;3;4
Poso;Poso;SULAWESI TENGAH;17.882;2.06;1.942;0.636;0.357;0.586;1.78;71.45;1;0;0;0;0;1;0;1;0.0705092877751483;0.0619995461471132;3;3
Donggala;Donggala;SULAWESI TENGAH;18.523;1.769;1.608;0.591;0.415;0.493;1.166;65.72;0;0;0;0;0;1;0;0;0.0465975524718184;0.0515547389049906;2;2
Toli-Toli;Toli-Toli;SULAWESI TENGAH;18.986;1.581;1.589;0.553;0.286;0.561;1.385;66.3;0;0;0;0;0;1;0;0;0.0586120841632896;0.0696018499439064;3;3
Buol;Buol;SULAWESI TENGAH;23.03;1.821;1.417;0.629;0.288;0.863;1.263;68.25;0;0;0;0;0;1;0;0;0.0583567590648685;0.118136853716685;3;4
Parigi Moutong;Parigi Moutong;SULAWESI TENGAH;25.117;1.606;1.546;0.584;0.412;0.731;1.507;65.82;0;0;0;0;0;1;0;0;0.0457020050918722;0.0474854979735062;2;2
Tojo Una-Una;Tojo Una-Una;SULAWESI TENGAH;24.376;2.041;1.259;0.656;0.498;0.485;1.34;64.74;0;0;0;0;0;1;0;0;0.079184280093072;0.0944120262648166;3;4
Sigi;Sigi;SULAWESI TENGAH;17.196;1.741;1.411;0.652;0.512;0.552;1.854;68.49;0;0;0;0;0;1;0;0;0.0563666531704258;0.0678781527615691;3;3
Banggai Laut;Banggai Laut;SULAWESI TENGAH;20.24;1.988;1.606;0.869;0.364;0.997;1.199;65.65;0;0;0;0;0;1;0;0;0.0471739835480732;0.128254267771324;2;4
Morowali Utara;Morowali Utara;SULAWESI TENGAH;23.811;2.504;3.857;1.038;0.392;0.712;2.161;68.48;0;0;0;0;0;1;1;1;0.0910918714866029;0.116531943703582;4;4
Kota Palu;Kota Palu;SULAWESI TENGAH;15.086;1.178;1.883;0.956;0.326;0.473;1.814;81.7;1;0;0;0;0;0;0;0;0.105298399464328;0.0518392120439769;4;2
Kepulauan Selayar;Kepulauan Selayar;SULAWESI SELATAN;14.931;2.225;2.687;0.92;0.496;0.598;1.234;67.76;0;1;1;0;1;0;0;1;0.0683236960961998;0.089180403325566;3;4
Bulukumba;Bulukumba;SULAWESI SELATAN;15.782;1.548;2.277;0.928;0.364;1.191;1.947;69.62;1;1;1;0;1;0;1;0;0.0486195916410824;0.0454239377304009;2;2
Bantaeng;Bantaeng;SULAWESI SELATAN;20.388;1.251;2.223;1.015;0.302;0.58;1.396;68.99;0;1;1;0;1;1;0;0;0.0562508089164999;0.0896030584510618;3;4
Jeneponto;Jeneponto;SULAWESI SELATAN;17.817;1.901;2.632;1.013;0.287;0.523;1.464;64.56;0;1;1;0;1;1;0;1;0.0358002443124781;0.0406381151655157;2;2
Takalar;Takalar;SULAWESI SELATAN;15.373;1.689;2.222;1.176;0.265;0.566;1.061;67.72;0;1;1;0;1;0;0;1;0.069477005849074;0.0667389957663519;3;3
Gowa;Gowa;SULAWESI SELATAN;16.694;1.455;2.059;1.154;0.273;0.53;1.344;70.29;1;1;1;0;1;0;0;0;0.0409311709351716;0.0340652971008848;2;2
Sinjai;Sinjai;SULAWESI SELATAN;16.482;1.624;1.625;1.068;0.366;1.022;1.389;67.75;0;1;1;0;1;0;0;0;0.0438746723832029;0.0615784875553725;2;3
Maros;Maros;SULAWESI SELATAN;17.082;1.402;2.237;1.231;0.26;0.586;1.611;70.41;1;1;1;0;1;1;0;0;0.045136186770428;0.0534370946822309;2;2
Pangkajene Kepulauan;Pangkajene Kepulauan;SULAWESI SELATAN;17.86;1.647;3.315;1.263;0.288;0.541;1.272;69.21;0;1;1;0;1;1;0;1;0.0530625708098496;0.0487602002036455;3;2
Barru;Barru;SULAWESI SELATAN;18.216;1.938;3.146;1.17;0.301;0.481;1.271;71.13;1;1;1;0;1;1;0;1;0.0953630410336692;0.0942605781315459;4;4
Bone;Bone;SULAWESI SELATAN;21.263;1.98;2.039;0.952;0.301;0.564;1.199;66.4;0;1;1;0;1;1;0;1;0.0260258846012277;0.0323464565758115;1;1
Soppeng;Soppeng;SULAWESI SELATAN;20.02;1.579;2.039;1.024;0.297;0.494;1.188;68.99;0;1;1;0;1;1;0;0;0.0681628626708835;0.0757835553918518;3;3
Wajo;Wajo;SULAWESI SELATAN;21.03;2.017;3.058;1.23;0.328;0.563;1.319;69.62;1;1;1;0;1;1;0;1;0.0392654424040067;0.0446076794657763;2;2
Sidenreng Rappang;Sidenreng Rappang;SULAWESI SELATAN;20.907;1.615;2.766;1.193;0.315;0.601;1.941;71.54;1;1;1;0;1;1;1;1;0.0471262417764708;0.0527813907896473;2;2
Pinrang;Pinrang;SULAWESI SELATAN;19.349;1.086;1.698;1.089;0.308;0.403;0.879;71.45;1;1;1;0;1;1;0;0;0.041813881218887;0.043793236542858;2;2
Enrekang;Enrekang;SULAWESI SELATAN;17.045;1.639;1.929;1.077;0.263;0.474;1.422;72.91;1;1;1;0;1;1;0;0;0.0446028360337922;0.0618257133141674;2;3
Luwu;Luwu;SULAWESI SELATAN;20.338;1.577;1.931;1.188;0.244;0.613;1.297;70.85;1;1;1;0;1;1;0;0;0.0476265214779376;0.0535798366626798;2;2
Tana Toraja;Tana Toraja;SULAWESI SELATAN;12.771;1.685;1.058;0.824;0.192;0.365;1.456;69.49;0;1;1;0;1;0;0;0;0.0408288607700951;0.0457143654776279;2;2
Luwu Utara;Luwu Utara;SULAWESI SELATAN;21.99;1.865;1.897;0.863;0.32;0.91;1.406;70.02;1;1;1;0;1;1;0;0;0.0516881218249271;0.0559699780707791;2;2
Luwu Timur;Luwu Timur;SULAWESI SELATAN;22.202;1.944;1.82;1.003;0.281;0.821;1.623;73.34;1;1;1;0;1;1;0;0;0.0686488179739934;0.0783129719606236;3;3
Toraja Utara;Toraja Utara;SULAWESI SELATAN;10.895;1.966;1.739;0.588;0.18;0.293;1.451;69.75;1;1;1;0;1;0;0;0;0.0475026593369116;0.0572467945855088;2;3
Kota Makassar;Kota Makassar;SULAWESI SELATAN;10.597;1.231;2.565;1.25;0.263;0.647;1.715;82.66;1;1;1;0;1;0;0;0;0.0725087484854481;0.0221592156586369;3;1
Kota Parepare;Kota Pare-pare;SULAWESI SELATAN;14.707;1.162;3.252;1.111;0.293;0.462;1.117;78.21;1;1;1;0;1;0;0;1;0.126290765916351;0.116160490575467;4;4
Kota Palopo;Kota Palopo;SULAWESI SELATAN;17.987;1.244;1.529;0.988;0.216;0.636;1.322;78.38;1;1;1;0;1;1;0;0;0.0992074427628171;0.0892866984865354;4;4
Buton;Buton;SULAWESI TENGGARA;12.064;1.313;2.309;0.723;0.288;0.377;1.389;66.32;0;0;1;0;1;0;0;0;0.0659552518983274;0.102315198457662;3;4
Muna;Muna;SULAWESI TENGGARA;11.27;1.154;2.45;1.045;0.199;0.477;1.306;69.17;0;0;1;0;1;0;0;0;0.0365077004205146;0.0500290709466312;2;2
Konawe;Konawe;SULAWESI TENGGARA;20.075;1.169;3.171;0.99;0.237;0.569;1.436;71.48;1;0;1;0;1;1;0;1;0.0574280015831503;0.068292758639422;3;3
Kolaka;Kolaka;SULAWESI TENGGARA;20.536;1.473;4.112;1.145;0.31;0.802;1.659;73.56;1;0;1;0;1;1;0;1;0.0440159654025965;0.0662376178388588;2;3
Konawe Selatan;Konawe Selatan;SULAWESI TENGGARA;19.984;1.409;3.463;1.013;0.305;0.702;1.739;68.58;0;0;1;0;1;1;0;1;0.032090881376057;0.0490990485053672;1;2
Bombana;Bombana;SULAWESI TENGGARA;25.589;1.633;2.278;1.148;0.305;0.54;1.063;66.25;0;0;1;0;1;1;0;1;0.0521229538218804;0.0838193446595103;2;3
Wakatobi;Wakatobi;SULAWESI TENGGARA;15.618;1.763;3.009;0.992;0.343;0.425;1.603;69.87;1;0;1;0;1;0;0;1;0.0636998254799302;0.0828970331588133;3;3
Kolaka Utara;Kolaka Utara;SULAWESI TENGGARA;29.389;1.843;2.853;1.797;0.298;1.07;1.304;69.5;0;0;1;0;1;1;0;1;0.0274186100207804;0.0772050334795659;1;3
Buton Utara;Buton Utara;SULAWESI TENGGARA;17.7;1.396;2.908;0.998;0.373;0.505;1.144;68.08;0;0;1;0;1;1;0;1;0.102578027183177;0.158392541974024;4;4
Konawe Utara;Konawe Utara;SULAWESI TENGGARA;24.998;1.395;4.031;1.433;0.302;0.82;1.189;70.23;1;0;1;0;1;1;0;1;0.0450201864707078;0.164105841006129;2;4
Kolaka Timur;Kolaka Timur;SULAWESI TENGGARA;22.844;1.581;2.754;1.081;0.341;0.813;1.91;67.76;0;0;1;0;1;1;0;1;0.0559606167022165;0.104622022530231;3;4
Konawe Kepulauan;Konawe Kepulauan;SULAWESI TENGGARA;19.782;1.384;2.312;1.002;0.304;0.708;1.199;65.73;0;0;1;0;1;1;0;0;0.0831478153582062;0.123380629241209;4;4
